feature,feature_importance
EPOCH_16_WELCH_16_EEG_BP_17_18,0
EPOCH_16_WELCH_16_EEG_BP_18_19,0
EPOCH_16_WELCH_16_EEG_BP_19_20,0
EPOCH_16_WELCH_16_EEG_BP_20_21,0
EPOCH_16_WELCH_16_EEG_BP_21_22,0
EPOCH_16_WELCH_16_EEG_BP_22_23,0
EPOCH_16_WELCH_16_EEG_BP_23_24,0
EPOCH_16_WELCH_16_EEG_BP_24_25,0
EPOCH_16_WELCH_16_EEG_BP_25_26,0
EPOCH_16_WELCH_16_EEG_BP_26_27,0
EPOCH_16_WELCH_16_EEG_BP_27_28,0
EPOCH_16_WELCH_16_EEG_BP_28_29,0
EPOCH_16_WELCH_16_EEG_BP_29_30,0
EPOCH_16_WELCH_16_EEG_BP_30_31,0
EPOCH_16_WELCH_16_EEG_abspow,108
EPOCH_16_WELCH_16_EEG_BP_0_0.5_std,55
EPOCH_16_WELCH_16_EEG_BP_0.5_1_std,46
EPOCH_16_WELCH_16_EEG_BP_1_2_std,23
EPOCH_16_WELCH_16_EEG_BP_2_3_std,1
EPOCH_16_WELCH_16_EEG_BP_3_4_std,1
EPOCH_16_WELCH_16_EEG_BP_4_5_std,7
EPOCH_16_WELCH_16_EEG_BP_5_6_std,11
EPOCH_16_WELCH_16_EEG_BP_6_7_std,0
EPOCH_16_WELCH_16_EEG_BP_7_8_std,0
EPOCH_16_WELCH_16_EEG_BP_8_9_std,0
EPOCH_16_WELCH_16_EEG_BP_9_10_std,0
EPOCH_16_WELCH_16_EEG_BP_10_11_std,0
EPOCH_16_WELCH_16_EEG_BP_11_12_std,0
EPOCH_16_WELCH_16_EEG_BP_12_13_std,8
EPOCH_16_WELCH_16_EEG_BP_13_14_std,0
EPOCH_16_WELCH_16_EEG_BP_14_15_std,0
EPOCH_16_WELCH_16_EEG_BP_15_16_std,4
EPOCH_16_WELCH_16_EEG_BP_16_17_std,6
EPOCH_16_WELCH_16_EEG_BP_17_18_std,0
EPOCH_16_WELCH_16_EEG_BP_18_19_std,0
EPOCH_16_WELCH_16_EEG_BP_19_20_std,0
EPOCH_16_WELCH_16_EEG_BP_20_21_std,2
EPOCH_16_WELCH_16_EEG_BP_21_22_std,0
EPOCH_16_WELCH_16_EEG_BP_22_23_std,8
EPOCH_16_WELCH_16_EEG_BP_23_24_std,0
EPOCH_16_WELCH_16_EEG_BP_24_25_std,0
EPOCH_16_WELCH_16_EEG_BP_25_26_std,0
EPOCH_16_WELCH_16_EEG_BP_26_27_std,0
EPOCH_16_WELCH_16_EEG_BP_27_28_std,1
EPOCH_16_WELCH_16_EEG_BP_28_29_std,2
EPOCH_16_WELCH_16_EEG_BP_29_30_std,0
EPOCH_16_WELCH_16_EEG_BP_30_31_std,0
EPOCH_16_WELCH_16_EEG_BP_0_0.5_relative,0
EPOCH_16_WELCH_16_EEG_BP_0.5_1_relative,0
EPOCH_16_WELCH_16_EEG_BP_1_2_relative,109
EPOCH_16_WELCH_16_EEG_BP_2_3_relative,0
EPOCH_16_WELCH_16_EEG_BP_3_4_relative,0
EPOCH_16_WELCH_16_EEG_BP_4_5_relative,0
EPOCH_16_WELCH_16_EEG_BP_5_6_relative,0
EPOCH_16_WELCH_16_EEG_BP_6_7_relative,0
EPOCH_16_WELCH_16_EEG_BP_7_8_relative,0
EPOCH_16_WELCH_16_EEG_BP_8_9_relative,0
EPOCH_16_WELCH_16_EEG_BP_9_10_relative,0
EPOCH_16_WELCH_16_EEG_BP_10_11_relative,0
EPOCH_16_WELCH_16_EEG_BP_11_12_relative,0
EPOCH_16_WELCH_16_EEG_BP_12_13_relative,3
EPOCH_16_WELCH_16_EEG_BP_13_14_relative,0
EPOCH_16_WELCH_16_EEG_BP_14_15_relative,0
EPOCH_16_WELCH_16_EEG_BP_15_16_relative,0
EPOCH_16_WELCH_16_EEG_BP_16_17_relative,0
EPOCH_16_WELCH_16_EEG_BP_17_18_relative,2
EPOCH_16_WELCH_16_EEG_BP_18_19_relative,0
EPOCH_16_WELCH_16_EEG_BP_19_20_relative,0
EPOCH_16_WELCH_16_EEG_BP_20_21_relative,0
EPOCH_16_WELCH_16_EEG_BP_21_22_relative,0
EPOCH_16_WELCH_16_EEG_BP_22_23_relative,0
EPOCH_16_WELCH_16_EEG_BP_23_24_relative,0
EPOCH_16_WELCH_16_EEG_BP_24_25_relative,0
EPOCH_16_WELCH_16_EEG_BP_25_26_relative,0
EPOCH_16_WELCH_16_EEG_BP_26_27_relative,0
EPOCH_16_WELCH_16_EEG_BP_27_28_relative,0
EPOCH_16_WELCH_16_EEG_BP_28_29_relative,0
EPOCH_16_WELCH_16_EEG_BP_29_30_relative,0
EPOCH_16_WELCH_16_EEG_BP_30_31_relative,2
EPOCH_16_WELCH_16_EEG_perm,0
EPOCH_16_WELCH_16_EEG_higuchi,0
EPOCH_16_WELCH_16_EEG_petrosian,0
EPOCH_32_WELCH_1_EEG_std,80
EPOCH_32_WELCH_1_EEG_iqr,0
EPOCH_32_WELCH_1_EEG_skew,0
EPOCH_32_WELCH_1_EEG_kurt,300
EPOCH_32_WELCH_1_EEG_nzc,0
EPOCH_32_WELCH_1_EEG_hmob,0
EPOCH_32_WELCH_1_EEG_hcomp,6
EPOCH_32_WELCH_1_EEG_BP_0_0.5,0
EPOCH_32_WELCH_1_EEG_BP_0.5_1,0
EPOCH_32_WELCH_1_EEG_BP_1_2,0
EPOCH_32_WELCH_1_EEG_BP_2_3,0
EPOCH_32_WELCH_1_EEG_BP_3_4,0
EPOCH_32_WELCH_1_EEG_BP_4_5,0
EPOCH_32_WELCH_1_EEG_BP_5_6,0
EPOCH_32_WELCH_1_EEG_BP_6_7,0
EPOCH_32_WELCH_1_EEG_BP_7_8,0
EPOCH_32_WELCH_1_EEG_BP_8_9,0
EPOCH_32_WELCH_1_EEG_BP_9_10,0
EPOCH_32_WELCH_1_EEG_BP_10_11,0
EPOCH_32_WELCH_1_EEG_BP_11_12,0
EPOCH_32_WELCH_1_EEG_BP_12_13,0
EPOCH_32_WELCH_1_EEG_BP_13_14,0
EPOCH_32_WELCH_1_EEG_BP_14_15,0
EPOCH_32_WELCH_1_EEG_BP_15_16,0
EPOCH_32_WELCH_1_EEG_BP_16_17,0
EPOCH_32_WELCH_1_EEG_BP_17_18,0
EPOCH_32_WELCH_1_EEG_BP_18_19,0
EPOCH_32_WELCH_1_EEG_BP_19_20,0
EPOCH_32_WELCH_1_EEG_BP_20_21,0
EPOCH_32_WELCH_1_EEG_BP_21_22,0
EPOCH_32_WELCH_1_EEG_BP_22_23,0
EPOCH_32_WELCH_1_EEG_BP_23_24,0
EPOCH_32_WELCH_1_EEG_BP_24_25,0
EPOCH_32_WELCH_1_EEG_BP_25_26,0
EPOCH_32_WELCH_1_EEG_BP_26_27,1
EPOCH_32_WELCH_1_EEG_BP_27_28,0
EPOCH_32_WELCH_1_EEG_BP_28_29,0
EPOCH_32_WELCH_1_EEG_BP_29_30,0
EPOCH_32_WELCH_1_EEG_BP_30_31,0
EPOCH_32_WELCH_1_EEG_abspow,16
EPOCH_32_WELCH_1_EEG_BP_0_0.5_std,0
EPOCH_32_WELCH_1_EEG_BP_0.5_1_std,0
EPOCH_32_WELCH_1_EEG_BP_1_2_std,0
EPOCH_32_WELCH_1_EEG_BP_2_3_std,22
EPOCH_32_WELCH_1_EEG_BP_3_4_std,21
EPOCH_32_WELCH_1_EEG_BP_4_5_std,0
EPOCH_32_WELCH_1_EEG_BP_5_6_std,4
EPOCH_32_WELCH_1_EEG_BP_6_7_std,97
EPOCH_32_WELCH_1_EEG_BP_7_8_std,0
EPOCH_32_WELCH_1_EEG_BP_8_9_std,1
EPOCH_32_WELCH_1_EEG_BP_9_10_std,9
EPOCH_32_WELCH_1_EEG_BP_10_11_std,0
EPOCH_32_WELCH_1_EEG_BP_11_12_std,13
EPOCH_32_WELCH_1_EEG_BP_12_13_std,21
EPOCH_32_WELCH_1_EEG_BP_13_14_std,3
EPOCH_32_WELCH_1_EEG_BP_14_15_std,0
EPOCH_32_WELCH_1_EEG_BP_15_16_std,0
EPOCH_32_WELCH_1_EEG_BP_16_17_std,0
EPOCH_32_WELCH_1_EEG_BP_17_18_std,0
EPOCH_32_WELCH_1_EEG_BP_18_19_std,0
EPOCH_32_WELCH_1_EEG_BP_19_20_std,0
EPOCH_32_WELCH_1_EEG_BP_20_21_std,0
EPOCH_32_WELCH_1_EEG_BP_21_22_std,0
EPOCH_32_WELCH_1_EEG_BP_22_23_std,0
EPOCH_32_WELCH_1_EEG_BP_23_24_std,1
EPOCH_32_WELCH_1_EEG_BP_24_25_std,1
EPOCH_32_WELCH_1_EEG_BP_25_26_std,0
EPOCH_32_WELCH_1_EEG_BP_26_27_std,0
EPOCH_32_WELCH_1_EEG_BP_27_28_std,25
EPOCH_32_WELCH_1_EEG_BP_28_29_std,0
EPOCH_32_WELCH_1_EEG_BP_29_30_std,0
EPOCH_32_WELCH_1_EEG_BP_30_31_std,0
EPOCH_32_WELCH_1_EEG_BP_0_0.5_relative,0
EPOCH_32_WELCH_1_EEG_BP_0.5_1_relative,0
EPOCH_32_WELCH_1_EEG_BP_1_2_relative,0
EPOCH_32_WELCH_1_EEG_BP_2_3_relative,59
EPOCH_32_WELCH_1_EEG_BP_3_4_relative,22
EPOCH_32_WELCH_1_EEG_BP_4_5_relative,87
EPOCH_32_WELCH_1_EEG_BP_5_6_relative,68
EPOCH_32_WELCH_1_EEG_BP_6_7_relative,0
EPOCH_32_WELCH_1_EEG_BP_7_8_relative,0
EPOCH_32_WELCH_1_EEG_BP_8_9_relative,0
EPOCH_32_WELCH_1_EEG_BP_9_10_relative,0
EPOCH_32_WELCH_1_EEG_BP_10_11_relative,0
EPOCH_32_WELCH_1_EEG_BP_11_12_relative,0
EPOCH_32_WELCH_1_EEG_BP_12_13_relative,0
EPOCH_32_WELCH_1_EEG_BP_13_14_relative,0
EPOCH_32_WELCH_1_EEG_BP_14_15_relative,0
EPOCH_32_WELCH_1_EEG_BP_15_16_relative,0
EPOCH_32_WELCH_1_EEG_BP_16_17_relative,3
EPOCH_32_WELCH_1_EEG_BP_17_18_relative,4
EPOCH_32_WELCH_1_EEG_BP_18_19_relative,0
EPOCH_32_WELCH_1_EEG_BP_19_20_relative,0
EPOCH_32_WELCH_1_EEG_BP_20_21_relative,0
EPOCH_32_WELCH_1_EEG_BP_21_22_relative,0
EPOCH_32_WELCH_1_EEG_BP_22_23_relative,3
EPOCH_32_WELCH_1_EEG_BP_23_24_relative,0
EPOCH_32_WELCH_1_EEG_BP_24_25_relative,0
EPOCH_32_WELCH_1_EEG_BP_25_26_relative,0
EPOCH_32_WELCH_1_EEG_BP_26_27_relative,0
EPOCH_32_WELCH_1_EEG_BP_27_28_relative,0
EPOCH_32_WELCH_1_EEG_BP_28_29_relative,0
EPOCH_32_WELCH_1_EEG_BP_29_30_relative,0
EPOCH_32_WELCH_1_EEG_BP_30_31_relative,0
EPOCH_32_WELCH_1_EEG_perm,0
EPOCH_32_WELCH_1_EEG_higuchi,1
EPOCH_32_WELCH_1_EEG_petrosian,0
EPOCH_32_WELCH_2_EEG_std,0
EPOCH_32_WELCH_2_EEG_iqr,0
EPOCH_32_WELCH_2_EEG_skew,0
EPOCH_32_WELCH_2_EEG_kurt,0
EPOCH_32_WELCH_2_EEG_nzc,0
EPOCH_32_WELCH_2_EEG_hmob,0
EPOCH_32_WELCH_2_EEG_hcomp,0
EPOCH_32_WELCH_2_EEG_BP_0_0.5,0
EPOCH_32_WELCH_2_EEG_BP_0.5_1,0
EPOCH_32_WELCH_2_EEG_BP_1_2,1
EPOCH_32_WELCH_2_EEG_BP_2_3,0
EPOCH_32_WELCH_2_EEG_BP_3_4,0
EPOCH_32_WELCH_2_EEG_BP_4_5,0
EPOCH_32_WELCH_2_EEG_BP_5_6,0
EPOCH_32_WELCH_2_EEG_BP_6_7,0
EPOCH_32_WELCH_2_EEG_BP_7_8,0
EPOCH_32_WELCH_2_EEG_BP_8_9,0
EPOCH_32_WELCH_2_EEG_BP_9_10,0
EPOCH_32_WELCH_2_EEG_BP_10_11,0
EPOCH_32_WELCH_2_EEG_BP_11_12,0
EPOCH_32_WELCH_2_EEG_BP_12_13,0
EPOCH_32_WELCH_2_EEG_BP_13_14,0
EPOCH_32_WELCH_2_EEG_BP_14_15,0
EPOCH_32_WELCH_2_EEG_BP_15_16,0
EPOCH_32_WELCH_2_EEG_BP_16_17,0
EPOCH_32_WELCH_2_EEG_BP_17_18,0
EPOCH_32_WELCH_2_EEG_BP_18_19,0
EPOCH_32_WELCH_2_EEG_BP_19_20,0
EPOCH_32_WELCH_2_EEG_BP_20_21,0
EPOCH_32_WELCH_2_EEG_BP_21_22,0
EPOCH_32_WELCH_2_EEG_BP_22_23,0
EPOCH_32_WELCH_2_EEG_BP_23_24,0
EPOCH_32_WELCH_2_EEG_BP_24_25,0
EPOCH_32_WELCH_2_EEG_BP_25_26,0
EPOCH_32_WELCH_2_EEG_BP_26_27,0
EPOCH_32_WELCH_2_EEG_BP_27_28,0
EPOCH_32_WELCH_2_EEG_BP_28_29,0
EPOCH_32_WELCH_2_EEG_BP_29_30,0
EPOCH_32_WELCH_2_EEG_BP_30_31,0
EPOCH_32_WELCH_2_EEG_abspow,0
EPOCH_32_WELCH_2_EEG_BP_0_0.5_std,33
EPOCH_32_WELCH_2_EEG_BP_0.5_1_std,2
EPOCH_32_WELCH_2_EEG_BP_1_2_std,0
EPOCH_32_WELCH_2_EEG_BP_2_3_std,3
EPOCH_32_WELCH_2_EEG_BP_3_4_std,79
EPOCH_32_WELCH_2_EEG_BP_4_5_std,0
EPOCH_32_WELCH_2_EEG_BP_5_6_std,0
EPOCH_32_WELCH_2_EEG_BP_6_7_std,0
EPOCH_32_WELCH_2_EEG_BP_7_8_std,0
EPOCH_32_WELCH_2_EEG_BP_8_9_std,96
EPOCH_32_WELCH_2_EEG_BP_9_10_std,0
EPOCH_32_WELCH_2_EEG_BP_10_11_std,0
EPOCH_32_WELCH_2_EEG_BP_11_12_std,0
EPOCH_32_WELCH_2_EEG_BP_12_13_std,0
EPOCH_32_WELCH_2_EEG_BP_13_14_std,0
EPOCH_32_WELCH_2_EEG_BP_14_15_std,0
EPOCH_32_WELCH_2_EEG_BP_15_16_std,3
EPOCH_32_WELCH_2_EEG_BP_16_17_std,0
EPOCH_32_WELCH_2_EEG_BP_17_18_std,0
EPOCH_32_WELCH_2_EEG_BP_18_19_std,0
EPOCH_32_WELCH_2_EEG_BP_19_20_std,1
EPOCH_32_WELCH_2_EEG_BP_20_21_std,0
EPOCH_32_WELCH_2_EEG_BP_21_22_std,0
EPOCH_32_WELCH_2_EEG_BP_22_23_std,0
EPOCH_32_WELCH_2_EEG_BP_23_24_std,16
EPOCH_32_WELCH_2_EEG_BP_24_25_std,0
EPOCH_32_WELCH_2_EEG_BP_25_26_std,5
EPOCH_32_WELCH_2_EEG_BP_26_27_std,17
EPOCH_32_WELCH_2_EEG_BP_27_28_std,0
EPOCH_32_WELCH_2_EEG_BP_28_29_std,0
EPOCH_32_WELCH_2_EEG_BP_29_30_std,0
EPOCH_32_WELCH_2_EEG_BP_30_31_std,0
EPOCH_32_WELCH_2_EEG_BP_0_0.5_relative,0
EPOCH_32_WELCH_2_EEG_BP_0.5_1_relative,0
EPOCH_32_WELCH_2_EEG_BP_1_2_relative,0
EPOCH_32_WELCH_2_EEG_BP_2_3_relative,0
EPOCH_32_WELCH_2_EEG_BP_3_4_relative,0
EPOCH_32_WELCH_2_EEG_BP_4_5_relative,3
EPOCH_32_WELCH_2_EEG_BP_5_6_relative,0
EPOCH_32_WELCH_2_EEG_BP_6_7_relative,0
EPOCH_32_WELCH_2_EEG_BP_7_8_relative,0
EPOCH_32_WELCH_2_EEG_BP_8_9_relative,0
EPOCH_32_WELCH_2_EEG_BP_9_10_relative,0
EPOCH_32_WELCH_2_EEG_BP_10_11_relative,0
EPOCH_32_WELCH_2_EEG_BP_11_12_relative,0
EPOCH_32_WELCH_2_EEG_BP_12_13_relative,2
EPOCH_32_WELCH_2_EEG_BP_13_14_relative,0
EPOCH_32_WELCH_2_EEG_BP_14_15_relative,0
EPOCH_32_WELCH_2_EEG_BP_15_16_relative,0
EPOCH_32_WELCH_2_EEG_BP_16_17_relative,0
EPOCH_32_WELCH_2_EEG_BP_17_18_relative,0
EPOCH_32_WELCH_2_EEG_BP_18_19_relative,0
EPOCH_32_WELCH_2_EEG_BP_19_20_relative,0
EPOCH_32_WELCH_2_EEG_BP_20_21_relative,0
EPOCH_32_WELCH_2_EEG_BP_21_22_relative,0
EPOCH_32_WELCH_2_EEG_BP_22_23_relative,0
EPOCH_32_WELCH_2_EEG_BP_23_24_relative,0
EPOCH_32_WELCH_2_EEG_BP_24_25_relative,0
EPOCH_32_WELCH_2_EEG_BP_25_26_relative,0
EPOCH_32_WELCH_2_EEG_BP_26_27_relative,0
EPOCH_32_WELCH_2_EEG_BP_27_28_relative,0
EPOCH_32_WELCH_2_EEG_BP_28_29_relative,0
EPOCH_32_WELCH_2_EEG_BP_29_30_relative,0
EPOCH_32_WELCH_2_EEG_BP_30_31_relative,0
EPOCH_32_WELCH_2_EEG_perm,0
EPOCH_32_WELCH_2_EEG_higuchi,0
EPOCH_32_WELCH_2_EEG_petrosian,0
EPOCH_32_WELCH_4_EEG_std,0
EPOCH_32_WELCH_4_EEG_iqr,0
EPOCH_32_WELCH_4_EEG_skew,0
EPOCH_32_WELCH_4_EEG_kurt,0
EPOCH_32_WELCH_4_EEG_nzc,0
EPOCH_32_WELCH_4_EEG_hmob,0
EPOCH_32_WELCH_4_EEG_hcomp,0
EPOCH_32_WELCH_4_EEG_BP_0_0.5,0
EPOCH_32_WELCH_4_EEG_BP_0.5_1,0
EPOCH_32_WELCH_4_EEG_BP_1_2,23
EPOCH_32_WELCH_4_EEG_BP_2_3,0
EPOCH_32_WELCH_4_EEG_BP_3_4,0
EPOCH_32_WELCH_4_EEG_BP_4_5,0
EPOCH_32_WELCH_4_EEG_BP_5_6,0
EPOCH_32_WELCH_4_EEG_BP_6_7,0
EPOCH_32_WELCH_4_EEG_BP_7_8,0
EPOCH_32_WELCH_4_EEG_BP_8_9,0
EPOCH_32_WELCH_4_EEG_BP_9_10,0
EPOCH_32_WELCH_4_EEG_BP_10_11,0
EPOCH_32_WELCH_4_EEG_BP_11_12,0
EPOCH_32_WELCH_4_EEG_BP_12_13,8
EPOCH_32_WELCH_4_EEG_BP_13_14,0
EPOCH_32_WELCH_4_EEG_BP_14_15,0
EPOCH_32_WELCH_4_EEG_BP_15_16,0
EPOCH_32_WELCH_4_EEG_BP_16_17,0
EPOCH_32_WELCH_4_EEG_BP_17_18,0
EPOCH_32_WELCH_4_EEG_BP_18_19,0
EPOCH_32_WELCH_4_EEG_BP_19_20,0
EPOCH_32_WELCH_4_EEG_BP_20_21,0
EPOCH_32_WELCH_4_EEG_BP_21_22,0
EPOCH_32_WELCH_4_EEG_BP_22_23,0
EPOCH_32_WELCH_4_EEG_BP_23_24,0
EPOCH_32_WELCH_4_EEG_BP_24_25,0
EPOCH_32_WELCH_4_EEG_BP_25_26,0
EPOCH_32_WELCH_4_EEG_BP_26_27,0
EPOCH_32_WELCH_4_EEG_BP_27_28,0
EPOCH_32_WELCH_4_EEG_BP_28_29,0
EPOCH_32_WELCH_4_EEG_BP_29_30,0
EPOCH_32_WELCH_4_EEG_BP_30_31,0
EPOCH_32_WELCH_4_EEG_abspow,0
EPOCH_32_WELCH_4_EEG_BP_0_0.5_std,0
EPOCH_32_WELCH_4_EEG_BP_0.5_1_std,24
EPOCH_32_WELCH_4_EEG_BP_1_2_std,0
EPOCH_32_WELCH_4_EEG_BP_2_3_std,132
EPOCH_32_WELCH_4_EEG_BP_3_4_std,20
EPOCH_32_WELCH_4_EEG_BP_4_5_std,0
EPOCH_32_WELCH_4_EEG_BP_5_6_std,0
EPOCH_32_WELCH_4_EEG_BP_6_7_std,0
EPOCH_32_WELCH_4_EEG_BP_7_8_std,0
EPOCH_32_WELCH_4_EEG_BP_8_9_std,23
EPOCH_32_WELCH_4_EEG_BP_9_10_std,0
EPOCH_32_WELCH_4_EEG_BP_10_11_std,0
EPOCH_32_WELCH_4_EEG_BP_11_12_std,0
EPOCH_32_WELCH_4_EEG_BP_12_13_std,72
EPOCH_32_WELCH_4_EEG_BP_13_14_std,0
EPOCH_32_WELCH_4_EEG_BP_14_15_std,0
EPOCH_32_WELCH_4_EEG_BP_15_16_std,2
EPOCH_32_WELCH_4_EEG_BP_16_17_std,3
EPOCH_32_WELCH_4_EEG_BP_17_18_std,0
EPOCH_32_WELCH_4_EEG_BP_18_19_std,0
EPOCH_32_WELCH_4_EEG_BP_19_20_std,0
EPOCH_32_WELCH_4_EEG_BP_20_21_std,0
EPOCH_32_WELCH_4_EEG_BP_21_22_std,0
EPOCH_32_WELCH_4_EEG_BP_22_23_std,7
EPOCH_32_WELCH_4_EEG_BP_23_24_std,0
EPOCH_32_WELCH_4_EEG_BP_24_25_std,2
EPOCH_32_WELCH_4_EEG_BP_25_26_std,1
EPOCH_32_WELCH_4_EEG_BP_26_27_std,1
EPOCH_32_WELCH_4_EEG_BP_27_28_std,0
EPOCH_32_WELCH_4_EEG_BP_28_29_std,0
EPOCH_32_WELCH_4_EEG_BP_29_30_std,0
EPOCH_32_WELCH_4_EEG_BP_30_31_std,0
EPOCH_32_WELCH_4_EEG_BP_0_0.5_relative,0
EPOCH_32_WELCH_4_EEG_BP_0.5_1_relative,0
EPOCH_32_WELCH_4_EEG_BP_1_2_relative,0
EPOCH_32_WELCH_4_EEG_BP_2_3_relative,0
EPOCH_32_WELCH_4_EEG_BP_3_4_relative,0
EPOCH_32_WELCH_4_EEG_BP_4_5_relative,0
EPOCH_32_WELCH_4_EEG_BP_5_6_relative,0
EPOCH_32_WELCH_4_EEG_BP_6_7_relative,0
EPOCH_32_WELCH_4_EEG_BP_7_8_relative,0
EPOCH_32_WELCH_4_EEG_BP_8_9_relative,12
EPOCH_32_WELCH_4_EEG_BP_9_10_relative,0
EPOCH_32_WELCH_4_EEG_BP_10_11_relative,0
EPOCH_32_WELCH_4_EEG_BP_11_12_relative,0
EPOCH_32_WELCH_4_EEG_BP_12_13_relative,14
EPOCH_32_WELCH_4_EEG_BP_13_14_relative,0
EPOCH_32_WELCH_4_EEG_BP_14_15_relative,0
EPOCH_32_WELCH_4_EEG_BP_15_16_relative,0
EPOCH_32_WELCH_4_EEG_BP_16_17_relative,0
EPOCH_32_WELCH_4_EEG_BP_17_18_relative,0
EPOCH_32_WELCH_4_EEG_BP_18_19_relative,0
EPOCH_32_WELCH_4_EEG_BP_19_20_relative,0
EPOCH_32_WELCH_4_EEG_BP_20_21_relative,0
EPOCH_32_WELCH_4_EEG_BP_21_22_relative,0
EPOCH_32_WELCH_4_EEG_BP_22_23_relative,7
EPOCH_32_WELCH_4_EEG_BP_23_24_relative,0
EPOCH_32_WELCH_4_EEG_BP_24_25_relative,0
EPOCH_32_WELCH_4_EEG_BP_25_26_relative,0
EPOCH_32_WELCH_4_EEG_BP_26_27_relative,0
EPOCH_32_WELCH_4_EEG_BP_27_28_relative,0
EPOCH_32_WELCH_4_EEG_BP_28_29_relative,0
EPOCH_32_WELCH_4_EEG_BP_29_30_relative,0
EPOCH_32_WELCH_4_EEG_BP_30_31_relative,0
EPOCH_32_WELCH_4_EEG_perm,0
EPOCH_32_WELCH_4_EEG_higuchi,0
EPOCH_32_WELCH_4_EEG_petrosian,0
EPOCH_32_WELCH_8_EEG_std,0
EPOCH_32_WELCH_8_EEG_iqr,0
EPOCH_32_WELCH_8_EEG_skew,0
EPOCH_32_WELCH_8_EEG_kurt,0
EPOCH_32_WELCH_8_EEG_nzc,0
EPOCH_32_WELCH_8_EEG_hmob,0
EPOCH_32_WELCH_8_EEG_hcomp,0
EPOCH_32_WELCH_8_EEG_BP_0_0.5,0
EPOCH_32_WELCH_8_EEG_BP_0.5_1,0
EPOCH_32_WELCH_8_EEG_BP_1_2,17
EPOCH_32_WELCH_8_EEG_BP_2_3,0
EPOCH_32_WELCH_8_EEG_BP_3_4,0
EPOCH_32_WELCH_8_EEG_BP_4_5,0
EPOCH_32_WELCH_8_EEG_BP_5_6,0
EPOCH_32_WELCH_8_EEG_BP_6_7,0
EPOCH_32_WELCH_8_EEG_BP_7_8,0
EPOCH_32_WELCH_8_EEG_BP_8_9,0
EPOCH_32_WELCH_8_EEG_BP_9_10,0
EPOCH_32_WELCH_8_EEG_BP_10_11,0
EPOCH_32_WELCH_8_EEG_BP_11_12,0
EPOCH_32_WELCH_8_EEG_BP_12_13,0
EPOCH_32_WELCH_8_EEG_BP_13_14,0
EPOCH_32_WELCH_8_EEG_BP_14_15,0
EPOCH_32_WELCH_8_EEG_BP_15_16,0
EPOCH_32_WELCH_8_EEG_BP_16_17,0
EPOCH_32_WELCH_8_EEG_BP_17_18,0
EPOCH_32_WELCH_8_EEG_BP_18_19,0
EPOCH_32_WELCH_8_EEG_BP_19_20,0
EPOCH_32_WELCH_8_EEG_BP_20_21,0
EPOCH_32_WELCH_8_EEG_BP_21_22,0
EPOCH_32_WELCH_8_EEG_BP_22_23,0
EPOCH_32_WELCH_8_EEG_BP_23_24,0
EPOCH_32_WELCH_8_EEG_BP_24_25,0
EPOCH_32_WELCH_8_EEG_BP_25_26,0
EPOCH_32_WELCH_8_EEG_BP_26_27,0
EPOCH_32_WELCH_8_EEG_BP_27_28,0
EPOCH_32_WELCH_8_EEG_BP_28_29,0
EPOCH_32_WELCH_8_EEG_BP_29_30,0
EPOCH_32_WELCH_8_EEG_BP_30_31,0
EPOCH_32_WELCH_8_EEG_abspow,0
EPOCH_32_WELCH_8_EEG_BP_0_0.5_std,6
EPOCH_32_WELCH_8_EEG_BP_0.5_1_std,1
EPOCH_32_WELCH_8_EEG_BP_1_2_std,0
EPOCH_32_WELCH_8_EEG_BP_2_3_std,9
EPOCH_32_WELCH_8_EEG_BP_3_4_std,26
EPOCH_32_WELCH_8_EEG_BP_4_5_std,0
EPOCH_32_WELCH_8_EEG_BP_5_6_std,0
EPOCH_32_WELCH_8_EEG_BP_6_7_std,0
EPOCH_32_WELCH_8_EEG_BP_7_8_std,3
EPOCH_32_WELCH_8_EEG_BP_8_9_std,17
EPOCH_32_WELCH_8_EEG_BP_9_10_std,0
EPOCH_32_WELCH_8_EEG_BP_10_11_std,0
EPOCH_32_WELCH_8_EEG_BP_11_12_std,8
EPOCH_32_WELCH_8_EEG_BP_12_13_std,0
EPOCH_32_WELCH_8_EEG_BP_13_14_std,0
EPOCH_32_WELCH_8_EEG_BP_14_15_std,0
EPOCH_32_WELCH_8_EEG_BP_15_16_std,0
EPOCH_32_WELCH_8_EEG_BP_16_17_std,80
EPOCH_32_WELCH_8_EEG_BP_17_18_std,0
EPOCH_32_WELCH_8_EEG_BP_18_19_std,0
EPOCH_32_WELCH_8_EEG_BP_19_20_std,0
EPOCH_32_WELCH_8_EEG_BP_20_21_std,0
EPOCH_32_WELCH_8_EEG_BP_21_22_std,0
EPOCH_32_WELCH_8_EEG_BP_22_23_std,0
EPOCH_32_WELCH_8_EEG_BP_23_24_std,0
EPOCH_32_WELCH_8_EEG_BP_24_25_std,0
EPOCH_32_WELCH_8_EEG_BP_25_26_std,0
EPOCH_32_WELCH_8_EEG_BP_26_27_std,0
EPOCH_32_WELCH_8_EEG_BP_27_28_std,0
EPOCH_32_WELCH_8_EEG_BP_28_29_std,0
EPOCH_32_WELCH_8_EEG_BP_29_30_std,0
EPOCH_32_WELCH_8_EEG_BP_30_31_std,0
EPOCH_32_WELCH_8_EEG_BP_0_0.5_relative,0
EPOCH_32_WELCH_8_EEG_BP_0.5_1_relative,0
